algo,M,N,K,ms,gflops,valid
shared 32x8 tk32,2048,2048,2048,9.21702,1863.93,yes
vectorized 32x8,2048,2048,2048,7.99949,2147.62,yes
vec-opt 64x64,2048,2048,2048,1.04125,16499.3,yes
tensorcore wmma16,2048,2048,2048,1.16326,14768.7,yes
naive 16x16,4096,4096,4096,59.8753,2295.42,yes
shared 32x8 tk32,4096,4096,4096,68.61,2003.19,yes
vectorized 32x8,4096,4096,4096,60.8922,2257.09,yes
vec-opt 64x64,4096,4096,4096,9.05216,15183,yes
tensorcore wmma16,4096,4096,4096,13.6499,10068.8,yes
naive 16x16,256,256,256,0.258048,130.032,yes
shared 32x8 tk32,256,256,256,0.231456,144.971,yes
vectorized 32x8,256,256,256,0.212992,157.538,yes
vec-opt 64x64,256,256,256,0.192448,174.356,yes
tensorcore wmma16,256,256,256,0.159744,210.051,yes
naive 16x16,512,512,512,0.11744,2285.72,yes
shared 32x8 tk32,512,512,512,0.155648,1724.63,yes
vectorized 32x8,512,512,512,0.1576,1703.27,yes
vec-opt 64x64,512,512,512,0.064512,4161.02,yes
tensorcore wmma16,512,512,512,0.028672,9362.29,yes
naive 16x16,1024,1024,1024,0.797696,2692.11,yes
shared 32x8 tk32,1024,1024,1024,1.20547,1781.45,yes
vectorized 32x8,1024,1024,1024,0.87952,2441.65,yes
vec-opt 64x64,1024,1024,1024,0.152352,14095.5,yes
tensorcore wmma16,1024,1024,1024,0.13824,15534.5,yes
naive 16x16,2048,2048,2048,6.48499,2649.17,yes
shared 32x8 tk32,2048,2048,2048,7.70662,2229.23,yes
vectorized 32x8,2048,2048,2048,6.90278,2488.83,yes
vec-opt 64x64,2048,2048,2048,1.04038,16513,yes
tensorcore wmma16,2048,2048,2048,1.1815,14540.7,yes
naive 16x16,4096,4096,4096,49.9814,2749.8,yes
shared 32x8 tk32,4096,4096,4096,58.3188,2356.68,yes
vectorized 32x8,4096,4096,4096,52.4626,2619.75,yes
vec-opt 64x64,4096,4096,4096,7.90819,17379.3,yes
tensorcore wmma16,4096,4096,4096,11.1311,12347.3,yes
naive 16x16,256,256,256,0.147392,227.654,yes
shared 32x8 tk32,256,256,256,0.114496,293.062,yes
vectorized 32x8,256,256,256,0.161696,207.516,yes
vec-opt 64x64,256,256,256,0.123904,270.81,yes
tensorcore wmma16,256,256,256,0.098272,341.444,yes
naive 16x16,512,512,512,0.113824,2358.34,yes
shared 32x8 tk32,512,512,512,0.130048,2064.13,yes
vectorized 32x8,512,512,512,0.15872,1691.25,yes
vec-opt 64x64,512,512,512,0.032768,8192,yes
tensorcore wmma16,512,512,512,0.029568,9078.58,yes
naive 16x16,1024,1024,1024,0.797696,2692.11,yes
shared 32x8 tk32,1024,1024,1024,0.93184,2304.56,yes
vectorized 32x8,1024,1024,1024,0.868352,2473.06,yes
vec-opt 64x64,1024,1024,1024,0.155648,13797.1,yes
tensorcore wmma16,1024,1024,1024,0.132096,16257,yes
naive 16x16,2048,2048,2048,6.47376,2653.77,yes
shared 32x8 tk32,2048,2048,2048,7.69843,2231.61,yes
vectorized 32x8,2048,2048,2048,6.92941,2479.27,yes
vec-opt 64x64,2048,2048,2048,1.04051,16511,yes
tensorcore wmma16,2048,2048,2048,1.18157,14539.9,yes
naive 16x16,4096,4096,4096,50.8129,2704.8,yes
shared 32x8 tk32,4096,4096,4096,56.3374,2439.57,yes
vectorized 32x8,4096,4096,4096,50.5108,2720.98,yes
vec-opt 64x64,4096,4096,4096,7.79264,17637,yes
tensorcore wmma16,4096,4096,4096,10.1192,13582,yes
